Date,TESLA,SP500,DBS,ST
29/11/2001,,0.010296646,-0.00886878,-0.015367506
30/11/2001,,-0.000657996,0.017761362,0.011170705
03/12/2001,,-0.008416557,0.025915472,0.011584719
04/12/2001,,0.013100816,0.058166004,0.032332816
05/12/2001,,0.0220729,0.039530114,0.035771811
06/12/2001,,-0.00278081,0.045444388,0.01833237
07/12/2001,,-0.007559993,0.021928467,0.007865892
10/12/2001,,-0.015995189,-0.01456542,-0.007237786
11/12/2001,,-0.002784746,-0.007363047,-0.006428984
12/12/2001,,0.000272668,0,-0.003164795
13/12/2001,,-0.015679818,-0.045444388,-0.01588757
14/12/2001,,0.003308854,-0.023566898,-0.006926056
17/12/2001,,0.0099848,0,0
18/12/2001,,0.007517776,0.046503275,0.016603936
19/12/2001,,0.005792869,0.007530024,0.006930406
20/12/2001,,-0.008412403,-0.022762341,-0.001292688
21/12/2001,,0.004341706,0.007645161,-0.01166597
24/12/2001,,-0.000209649,-0.007645161,0.003711581
25/12/2001,,0,0,0
26/12/2001,,0.004115053,0.007645161,0.002422984
27/12/2001,,0.006728835,0.030095167,0.01546936
28/12/2001,,0.003356128,0.021928467,0.007685575
